player_id,finishing,dribbling,acceleration,sprint_speed,positioning,shot_power,short_passing,long_passing,vision,dribbling,crossing,ball_control,marking,standing_tackle,sliding_tackle,interceptions,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,date,FIFA_rating,Position
37950,72.0,82.0,91.0,92.0,81.0,69.0,71.0,67.0,74.0,82.0,75.0,79.0,13.0,29.0,15.0,39.0,14.0,5.0,12.0,10.0,13.0,2015-12-17,81,Attacker
16351,55.0,78.0,69.0,66.0,66.0,91.0,70.0,77.0,76.0,78.0,90.0,78.0,79.0,84.0,82.0,80.0,16.0,15.0,8.0,16.0,6.0,2015-10-16,81,Defender
22764,35.0,46.0,54.0,68.0,33.0,46.0,65.0,62.0,28.0,46.0,39.0,59.0,79.0,85.0,83.0,78.0,15.0,5.0,7.0,6.0,11.0,2015-09-21,81,Defender
31291,34.0,71.0,80.0,85.0,66.0,52.0,64.0,69.0,59.0,71.0,79.0,78.0,80.0,82.0,86.0,77.0,10.0,11.0,9.0,11.0,6.0,2015-10-16,81,Defender
157838,54.0,78.0,86.0,86.0,64.0,74.0,76.0,67.0,64.0,78.0,80.0,76.0,80.0,83.0,86.0,76.0,10.0,11.0,13.0,15.0,7.0,2015-10-16,81,Defender
46403,38.0,65.0,49.0,52.0,45.0,64.0,70.0,69.0,60.0,65.0,68.0,73.0,83.0,83.0,82.0,77.0,15.0,9.0,12.0,14.0,6.0,2015-09-21,81,Defender
26295,10.0,10.0,65.0,63.0,10.0,23.0,27.0,31.0,16.0,10.0,13.0,34.0,12.0,10.0,18.0,27.0,87.0,82.0,68.0,81.0,88.0,2015-09-21,81,Goalkeeper
193869,76.0,82.0,84.0,86.0,81.0,77.0,75.0,58.0,71.0,82.0,72.0,80.0,26.0,28.0,29.0,31.0,7.0,13.0,10.0,11.0,5.0,2015-12-17,81,Attacker
242709,77.0,87.0,78.0,75.0,81.0,75.0,84.0,74.0,83.0,87.0,70.0,83.0,24.0,52.0,31.0,33.0,8.0,11.0,9.0,6.0,10.0,2015-11-19,81,Midfielder
37545,55.0,75.0,66.0,50.0,55.0,71.0,84.0,85.0,87.0,75.0,79.0,83.0,57.0,67.0,65.0,71.0,8.0,7.0,10.0,9.0,7.0,2015-09-21,81,Midfielder
150250,80.0,84.0,86.0,79.0,84.0,71.0,83.0,74.0,74.0,84.0,78.0,85.0,30.0,32.0,31.0,49.0,5.0,11.0,12.0,15.0,9.0,2015-09-21,81,Attacker
50661,76.0,83.0,85.0,87.0,77.0,77.0,74.0,64.0,71.0,83.0,71.0,80.0,23.0,36.0,36.0,25.0,13.0,13.0,10.0,8.0,10.0,2015-11-26,81,Attacker
113836,77.0,81.0,86.0,84.0,82.0,77.0,83.0,64.0,69.0,81.0,69.0,79.0,23.0,38.0,33.0,22.0,9.0,10.0,6.0,12.0,16.0,2015-11-26,81,Attacker
174850,75.0,87.0,84.0,77.0,78.0,80.0,81.0,72.0,79.0,87.0,75.0,84.0,34.0,42.0,39.0,43.0,10.0,15.0,11.0,8.0,13.0,2015-12-17,81,Attacker
38994,70.0,80.0,81.0,78.0,72.0,68.0,80.0,85.0,80.0,80.0,80.0,83.0,39.0,49.0,51.0,28.0,16.0,9.0,16.0,8.0,13.0,2015-11-06,81,Midfielder
30618,79.0,74.0,55.0,54.0,80.0,90.0,84.0,87.0,81.0,74.0,86.0,82.0,63.0,69.0,68.0,70.0,13.0,15.0,13.0,5.0,10.0,2015-10-30,81,Midfielder
35110,46.0,43.0,68.0,77.0,42.0,75.0,64.0,63.0,44.0,43.0,28.0,57.0,81.0,85.0,80.0,78.0,13.0,15.0,9.0,10.0,12.0,2015-12-10,81,Defender
108038,76.0,86.0,79.0,85.0,78.0,77.0,79.0,66.0,76.0,86.0,65.0,84.0,52.0,55.0,42.0,65.0,16.0,6.0,14.0,12.0,6.0,2015-09-21,81,Attacker
161035,52.0,65.0,70.0,74.0,55.0,79.0,66.0,74.0,56.0,65.0,75.0,66.0,80.0,84.0,81.0,79.0,7.0,8.0,12.0,15.0,10.0,2015-09-21,81,Defender
181276,84.0,76.0,80.0,85.0,81.0,85.0,67.0,58.0,69.0,76.0,68.0,76.0,27.0,30.0,30.0,27.0,8.0,15.0,14.0,7.0,10.0,2015-12-10,81,Attacker
30829,86.0,79.0,72.0,74.0,87.0,87.0,80.0,85.0,83.0,79.0,78.0,83.0,29.0,54.0,37.0,54.0,10.0,11.0,13.0,8.0,7.0,2015-10-23,81,Midfielder
32657,12.0,12.0,60.0,55.0,12.0,29.0,27.0,36.0,38.0,12.0,10.0,27.0,10.0,12.0,10.0,21.0,82.0,78.0,77.0,85.0,83.0,2015-09-21,81,Goalkeeper
25984,58.0,56.0,66.0,75.0,42.0,84.0,74.0,72.0,65.0,56.0,54.0,70.0,82.0,81.0,82.0,79.0,13.0,9.0,13.0,14.0,13.0,2015-12-10,81,Defender
37234,73.0,85.0,76.0,70.0,76.0,68.0,83.0,74.0,83.0,85.0,74.0,82.0,30.0,52.0,38.0,61.0,6.0,15.0,14.0,8.0,11.0,2015-09-21,80,Midfielder
174472,78.0,84.0,86.0,77.0,82.0,75.0,71.0,65.0,72.0,84.0,70.0,82.0,20.0,21.0,18.0,36.0,12.0,16.0,9.0,12.0,13.0,2015-12-17,80,Attacker
40187,77.0,81.0,84.0,83.0,75.0,85.0,72.0,69.0,69.0,81.0,77.0,79.0,30.0,39.0,32.0,41.0,10.0,13.0,13.0,15.0,7.0,2015-12-24,80,Attacker
36615,82.0,81.0,69.0,80.0,81.0,86.0,86.0,83.0,85.0,81.0,67.0,83.0,63.0,78.0,75.0,66.0,13.0,14.0,6.0,12.0,8.0,2015-10-16,80,Midfielder
